,school_name,school_id,num_sitters,average_300,grade,region_name,council_name,num_sitters_girls,num_sitters_boys,ratio_sitters_girls_boys,pct_passed,approx_marks_SD_300
0,ALBEHIJE,PS0101114,21,255.0476,A,Arusha,Arusha,10,11,0.9090909090909091,1.0,17.539225556066494
1,ARUSHA VICTORY,PS0101128,13,282.0,A,Arusha,Arusha,6,7,0.8571428571428571,1.0,0.0
2,ASSALAF ISLAMIC,PS0101116,40,224.4,B,Arusha,Arusha,22,18,1.2222222222222223,1.0,31.32680499089398
3,BANGATA,PS0101001,59,212.7119,B,Arusha,Arusha,22,37,0.5945945945945946,1.0,15.020944393354775
4,BLUE BELL,PS0101154,14,254.0714,A,Arusha,Arusha,6,8,0.75,1.0,26.99229859929438
5,BWAWANI,PS0101003,53,164.8868,C,Arusha,Arusha,30,23,1.3043478260869565,0.9811320754716981,28.906744154272545
6,DEANERY,PS0101143,26,238.9615,B,Arusha,Arusha,12,14,0.8571428571428571,1.0,29.519332560586207
7,DINKA,PS0101135,13,231.2308,B,Arusha,Arusha,4,9,0.4444444444444444,1.0,37.38197402824683
8,EBENEZER,PS0101123,8,197.125,B,Arusha,Arusha,4,4,1.0,1.0,25.98076211353316
9,EKENYWA,PS0101005,131,148.9847,C,Arusha,Arusha,64,67,0.9552238805970149,0.8473282442748091,33.56348878270765
10,EMAOI,PS0101006,105,163.6095,C,Arusha,Arusha,52,53,0.9811320754716981,0.9523809523809523,29.965967090575756
11,ENDONYOESOIYE,PS0101007,78,147.8846,C,Arusha,Arusha,35,43,0.813953488372093,0.7948717948717948,32.70814096226046
12,ENGALAONI,PS0101008,72,161.8056,C,Arusha,Arusha,47,25,1.88,0.7777777777777778,49.6392245488558
13,ENGIKARET,PS0101130,54,160.0185,C,Arusha,Arusha,22,32,0.6875,0.9814814814814815,28.131086447049253
14,ENGILANG'ET,PS0101131,20,206.0,B,Arusha,Arusha,10,10,1.0,1.0,18.0
15,ENGORIKA,PS0101009,84,124.9048,C,Arusha,Arusha,51,33,1.5454545454545454,0.6190476190476191,34.539754630618184
16,ENGUTUKOITI,PS0101010,28,106.6429,D,Arusha,Arusha,18,10,1.8,0.21428571428571427,24.619554199448693
17,ENJORO,PS0101117,75,129.4667,C,Arusha,Arusha,38,37,1.027027027027027,0.64,35.01770980518286
18,ENYUATA,PS0101011,114,187.4386,B,Arusha,Arusha,59,55,1.0727272727272728,0.9912280701754386,35.346723954471855
