school_id,school_name,num_sitters,average_300,grade,region_name,council_name,num_sitters_girls,num_sitters_boys,ratio_sitters_girls_boys,pct_passed,approx_marks_SD_300,WARD,SCHOOL OWNERSHIP,SCHOOL REG. NUMBER,LATITUDE,LONGITUDE,TOTAL BOYS,TOTAL GIRLS,PTR,PQTR,TOTAL STUDENTS,RATIO GIRLS-BOYS,PBR_average,CG,CG_per_student,approx_ages_SD,approx_ages_mean,ages_median
PS0101114,ALBEHIJE,21,255.0476,A,Arusha,Arusha,10,11,0.9090909090909092,1.0,17.539225556066494,Kiranyi,Non-Government,EM.13504,-3.3620171,36.6856885,59,62,9,9,121,1.0508474576271187,0.955658914728682,,,2.449294547652954,9.867768595041325,10.0
PS0101128,ARUSHA VICTORY,13,282.0,A,Arusha,Arusha,6,7,0.8571428571428571,1.0,0.0,Kiranyi,Non-Government,EM.14963,-3.3579834,36.6780255,86,95,18,36,181,1.1046511627906976,2.354578206031694,,,2.2214204808451217,8.480662983425415,8.0
PS0101116,ASSALAF ISLAMIC,40,224.4,B,Arusha,Arusha,22,18,1.2222222222222223,1.0,31.32680499089398,Mateves,Non-Government,EM.14964,-3.385133,36.54941474,172,213,28,28,385,1.2383720930232558,0.9721826836521984,,,1.9619865260373648,8.761038961038961,8.0
PS0101143,DEANERY,26,238.9615,B,Arusha,Arusha,12,14,0.8571428571428571,1.0,29.519332560586207,Mateves,Non-Government,EM.16671,-3.3773035,36.5862759,223,242,24,24,465,1.0852017937219731,4.203255813953488,,,2.1700789587053837,8.531182795698925,8.0
PS0101135,DINKA,13,231.2308,B,Arusha,Arusha,4,9,0.4444444444444444,1.0,37.38197402824683,Mlangarini,Non-Government,EM.15916,-3.4506519,36.7924085,61,42,7,7,103,0.6885245901639344,1.0934982519568983,,,2.312718363049979,8.970873786407767,9.0
PS0101123,EBENEZER,8,197.125,B,Arusha,Arusha,4,4,1.0,1.0,25.98076211353316,Sokoni II,Non-Government,EM.14754,-3.9392741,36.360456,33,46,10,11,79,1.393939393939394,0.946474713916574,,,2.3196699012076736,8.683544303797468,8.0
PS0101131,ENGILANG'ET,20,206.0,B,Arusha,Arusha,10,10,1.0,1.0,18.0,Moivo,Non-Government,EM.15190,-3.3472802,36.6992602,87,75,14,27,162,0.8620689655172413,2.2906976744186047,,,2.331936677830286,9.98148148148148,10.0
PS0101121,GOODWILL,27,236.5926,B,Arusha,Arusha,13,14,0.9285714285714286,1.0,29.690013701247203,Moivo,Non-Government,EM.14966,-3.3551844,36.6921826,115,100,17,18,215,0.8695652173913043,2.1331587764880298,,,1.9653790934755688,8.376744186046512,8.0
PS0101129,GRACIOUS,37,271.027,A,Arusha,Arusha,15,22,0.6818181818181818,1.0,13.510928806867842,Kiranyi,Non-Government,EM.15917,-3.347566,36.6696166,132,119,25,25,251,0.9015151515151516,1.0242953193152569,,,2.295138866835045,8.705179282868526,8.0
PS0101012,GREEN ACRES,107,257.5234,A,Arusha,Arusha,55,52,1.0576923076923077,1.0,24.14765348689288,Kiutu,Non-Government,EM.9579,-3.3624253,36.7056632,440,453,31,31,893,1.0295454545454543,0.9849925503086008,,,2.292020756665683,9.499440089585669,10.0
